topic,accuracy
abstract_algebra_test,0.33
anatomy_test,0.6444444444444445
astronomy_test,0.6710526315789473
business_ethics_test,0.6
clinical_knowledge_test,0.6490566037735849
college_biology_test,0.5972222222222222
college_chemistry_test,0.35
college_computer_science_test,0.4
college_mathematics_test,0.37
college_medicine_test,0.5433526011560693
college_physics_test,0.37254901960784315
computer_security_test,0.67
conceptual_physics_test,0.5234042553191489
econometrics_test,0.41228070175438597
electrical_engineering_test,0.5517241379310345
elementary_mathematics_test,0.41005291005291006
formal_logic_test,0.36507936507936506
global_facts_test,0.34
high_school_biology_test,0.6451612903225806
high_school_chemistry_test,0.45320197044334976
high_school_computer_science_test,0.56
high_school_european_history_test,0.6666666666666666
high_school_geography_test,0.6313131313131313
high_school_government_and_politics_test,0.7098445595854922
high_school_macroeconomics_test,0.5641025641025641
high_school_mathematics_test,0.32222222222222224
high_school_microeconomics_test,0.592436974789916
high_school_physics_test,0.3576158940397351
high_school_psychology_test,0.7467889908256881
high_school_statistics_test,0.46296296296296297
high_school_us_history_test,0.6911764705882353
high_school_world_history_test,0.7468354430379747
human_aging_test,0.57847533632287
human_sexuality_test,0.6793893129770993
international_law_test,0.6859504132231405
jurisprudence_test,0.6296296296296297
logical_fallacies_test,0.656441717791411
machine_learning_test,0.3482142857142857
management_test,0.7378640776699029
marketing_test,0.7564102564102564
medical_genetics_test,0.63
miscellaneous_test,0.7215836526181354
moral_disputes_test,0.6098265895953757
moral_scenarios_test,0.2871508379888268
nutrition_test,0.6209150326797386
philosophy_test,0.6688102893890675
prehistory_test,0.6820987654320988
professional_accounting_test,0.45390070921985815
professional_law_test,0.42894393741851367
professional_medicine_test,0.6507352941176471
professional_psychology_test,0.6045751633986928
public_relations_test,0.5909090909090909
security_studies_test,0.6326530612244898
sociology_test,0.7810945273631841
us_foreign_policy_test,0.82
virology_test,0.4819277108433735
world_religions_test,0.7719298245614035
overall,0.560461472724683
time,5:41
