topic,accuracy
abstract_algebra_test,0.27
anatomy_test,0.6
astronomy_test,0.631578947368421
business_ethics_test,0.6
clinical_knowledge_test,0.6943396226415094
college_biology_test,0.6666666666666666
college_chemistry_test,0.34
college_computer_science_test,0.45
college_mathematics_test,0.36
college_medicine_test,0.5722543352601156
college_physics_test,0.38235294117647056
computer_security_test,0.71
conceptual_physics_test,0.4978723404255319
econometrics_test,0.42105263157894735
electrical_engineering_test,0.5517241379310345
elementary_mathematics_test,0.3994708994708995
formal_logic_test,0.3492063492063492
global_facts_test,0.39
high_school_biology_test,0.7096774193548387
high_school_chemistry_test,0.4827586206896552
high_school_computer_science_test,0.65
high_school_european_history_test,0.7393939393939394
high_school_geography_test,0.6818181818181818
high_school_government_and_politics_test,0.8238341968911918
high_school_macroeconomics_test,0.5384615384615384
high_school_mathematics_test,0.3851851851851852
high_school_microeconomics_test,0.592436974789916
high_school_physics_test,0.3841059602649007
high_school_psychology_test,0.744954128440367
high_school_statistics_test,0.4537037037037037
high_school_us_history_test,0.7549019607843137
high_school_world_history_test,0.7637130801687764
human_aging_test,0.6547085201793722
human_sexuality_test,0.7099236641221374
international_law_test,0.768595041322314
jurisprudence_test,0.6944444444444444
logical_fallacies_test,0.7361963190184049
machine_learning_test,0.45535714285714285
management_test,0.7281553398058253
marketing_test,0.8247863247863247
medical_genetics_test,0.67
miscellaneous_test,0.7879948914431673
moral_disputes_test,0.6820809248554913
moral_scenarios_test,0.2424581005586592
nutrition_test,0.6764705882352942
philosophy_test,0.6527331189710611
prehistory_test,0.6851851851851852
professional_accounting_test,0.4574468085106383
professional_law_test,0.45241199478487615
professional_medicine_test,0.6544117647058824
professional_psychology_test,0.6437908496732027
public_relations_test,0.5636363636363636
security_studies_test,0.6979591836734694
sociology_test,0.7910447761194029
us_foreign_policy_test,0.88
virology_test,0.4819277108433735
world_religions_test,0.783625730994152
overall,0.5841048283720268
